"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8702","Проверяем, что после оформления заказа его номер появляется в разделе ""В работе""","tests","Sun Mar 23 21:42:05 CET 2025","passed","Sun Mar 23 21:42:13 CET 2025","TestListOrders","test_list_order","",""
"Заполняем поле email в форме восстановления пароля, нажимаем ""Восстановить"", 
                        проверяем, что перешли на форму сброса пароля","1998","Проверяем переход на форму сброса пароля по нажатию ""Восстановить""","tests","Sun Mar 23 21:42:53 CET 2025","passed","Sun Mar 23 21:42:55 CET 2025","TestPasswordRecovery","test_password_recovery","",""
"","65","Проверяем, что при добавлении ингредиента в заказ счётчик этого ингридиента увеличивается","tests","Sun Mar 23 21:38:18 CET 2025","passed","Sun Mar 23 21:38:18 CET 2025","TestCreateOrder","test_create_order","",""
"","2099","Проверяем, что авторизованный пользователь может оформить заказ","tests","Sun Mar 23 21:38:27 CET 2025","passed","Sun Mar 23 21:38:29 CET 2025","TestCreateOrder","test_create_order","",""
"","624","Проверяем переход на страницу восстановления пароля по нажатию ""Восстановить пароль""","tests","Sun Mar 23 21:42:32 CET 2025","passed","Sun Mar 23 21:42:32 CET 2025","TestPasswordRecovery","test_password_recovery","",""
"","3326","Проверяем переход в историю заказов в личном кабинете","tests","Sun Mar 23 21:35:23 CET 2025","passed","Sun Mar 23 21:35:26 CET 2025","TestAccountPage","test_account_profile","",""
"","1371","Переход в раздел ""Лента заказов"" нажатием ""Лента Заказов""","tests","Sun Mar 23 21:36:59 CET 2025","passed","Sun Mar 23 21:37:01 CET 2025","TestCreateOrder","test_create_order","",""
"","3042","Проверяем переход в личный кабинет пользователя по нажатию ""Личный кабинет""","tests","Sun Mar 23 21:34:54 CET 2025","passed","Sun Mar 23 21:34:57 CET 2025","TestAccountPage","test_account_profile","",""
"","334","Проверяем открытие окна с деталями ингредиента нажатием на ингредиент","tests","Sun Mar 23 21:37:17 CET 2025","passed","Sun Mar 23 21:37:18 CET 2025","TestCreateOrder","test_create_order","",""
"","2982","Проверяем, что авторизованный пользователь может оформить заказ","tests","Sun Mar 23 21:38:39 CET 2025","passed","Sun Mar 23 21:38:42 CET 2025","TestCreateOrder","test_create_order","",""
"","1189","Проверяем, что окно с деталями ингредиента закрывается нажатием закрытия (крестик)","tests","Sun Mar 23 21:37:50 CET 2025","passed","Sun Mar 23 21:37:51 CET 2025","TestCreateOrder","test_create_order","",""
"","345","Проверяем открытие окна с деталями ингредиента нажатием на ингредиент","tests","Sun Mar 23 21:37:09 CET 2025","passed","Sun Mar 23 21:37:09 CET 2025","TestCreateOrder","test_create_order","",""
"","687","Проверяем переход на страницу восстановления пароля по нажатию ""Восстановить пароль""","tests","Sun Mar 23 21:42:22 CET 2025","passed","Sun Mar 23 21:42:23 CET 2025","TestPasswordRecovery","test_password_recovery","",""
"","8275","Проверяем, что при создании нового заказа счётчик ""Выполнено за всё время""/""Выполнено за сегодня"" увеличивается","tests","Sun Mar 23 21:40:56 CET 2025","passed","Sun Mar 23 21:41:04 CET 2025","TestListOrders","test_list_order","",""
"","8428","Проверяем, что при создании нового заказа счётчик ""Выполнено за всё время""/""Выполнено за сегодня"" увеличивается","tests","Sun Mar 23 21:40:38 CET 2025","passed","Sun Mar 23 21:40:46 CET 2025","TestListOrders","test_list_order","",""
"","1629","Проверяем открытие окна с деталями заказа нажатием на заказ","tests","Sun Mar 23 21:39:25 CET 2025","passed","Sun Mar 23 21:39:26 CET 2025","TestListOrders","test_list_order","",""
"","7497","Проверяем: заказы пользователя из «История заказов» отображаются на странице «Лента заказов»","tests","Sun Mar 23 21:39:53 CET 2025","broken","Sun Mar 23 21:40:00 CET 2025","TestListOrders","test_list_order","",""
"","2957","Проверяем переход в личный кабинет пользователя по нажатию ""Личный кабинет""","tests","Sun Mar 23 21:35:07 CET 2025","passed","Sun Mar 23 21:35:10 CET 2025","TestAccountPage","test_account_profile","",""
"","8094","Проверяем: заказы пользователя из «История заказов» отображаются на странице «Лента заказов»","tests","Sun Mar 23 21:39:35 CET 2025","broken","Sun Mar 23 21:39:43 CET 2025","TestListOrders","test_list_order","",""
"Заполняем поле email в форме восстановления пароля, нажимаем ""Восстановить"", 
                        проверяем, что перешли на форму сброса пароля","1930","Проверяем переход на форму сброса пароля по нажатию ""Восстановить""","tests","Sun Mar 23 21:43:04 CET 2025","passed","Sun Mar 23 21:43:05 CET 2025","TestPasswordRecovery","test_password_recovery","",""
"","3232","Проверяем переход в историю заказов в личном кабинете","tests","Sun Mar 23 21:35:36 CET 2025","passed","Sun Mar 23 21:35:39 CET 2025","TestAccountPage","test_account_profile","",""
"","657","Переход в раздел ""Соберите бургер"" нажатием ""Конструктор""","tests","Sun Mar 23 21:36:32 CET 2025","passed","Sun Mar 23 21:36:32 CET 2025","TestCreateOrder","test_create_order","",""
"","1348","Переход в раздел ""Лента заказов"" нажатием ""Лента Заказов""","tests","Sun Mar 23 21:36:49 CET 2025","passed","Sun Mar 23 21:36:51 CET 2025","TestCreateOrder","test_create_order","",""
"Заполняем поле email в форме восстановления пароля, нажимаем ""Восстановить"", 
                            в форме сброса пароля нажимаем ""Скрыть/показать пароль"", проверяем,
                            что поле ""Пароль"" становится активным""","3287","Нажатие на кнопку ""показать/скрыть пароль"" делает поле активным в форме сброса пароля","tests","Sun Mar 23 21:43:14 CET 2025","passed","Sun Mar 23 21:43:17 CET 2025","TestPasswordRecovery","test_password_recovery","",""
"Заполняем поле email в форме восстановления пароля, нажимаем ""Восстановить"", 
                            в форме сброса пароля нажимаем ""Скрыть/показать пароль"", проверяем,
                            что поле ""Пароль"" становится активным""","2243","Нажатие на кнопку ""показать/скрыть пароль"" делает поле активным в форме сброса пароля","tests","Sun Mar 23 21:43:26 CET 2025","passed","Sun Mar 23 21:43:28 CET 2025","TestPasswordRecovery","test_password_recovery","",""
"","97","Проверяем, что при добавлении ингредиента в заказ счётчик этого ингридиента увеличивается","tests","Sun Mar 23 21:38:09 CET 2025","passed","Sun Mar 23 21:38:09 CET 2025","TestCreateOrder","test_create_order","",""
"","1639","Проверяем открытие окна с деталями заказа нажатием на заказ","tests","Sun Mar 23 21:39:15 CET 2025","passed","Sun Mar 23 21:39:16 CET 2025","TestListOrders","test_list_order","",""
"","4374","Проверяем выход из аккаунта нажатию на кнопку ""Выход"" в личном кабинете","tests","Sun Mar 23 21:35:48 CET 2025","passed","Sun Mar 23 21:35:53 CET 2025","TestAccountPage","test_account_profile","",""
"","4237","Проверяем выход из аккаунта нажатию на кнопку ""Выход"" в личном кабинете","tests","Sun Mar 23 21:36:03 CET 2025","passed","Sun Mar 23 21:36:07 CET 2025","TestAccountPage","test_account_profile","",""
"","6300","Проверяем, что после оформления заказа его номер появляется в разделе ""В работе""","tests","Sun Mar 23 21:41:49 CET 2025","failed","Sun Mar 23 21:41:55 CET 2025","TestListOrders","test_list_order","",""
"","639","Переход в раздел ""Соберите бургер"" нажатием ""Конструктор""","tests","Sun Mar 23 21:36:41 CET 2025","passed","Sun Mar 23 21:36:42 CET 2025","TestCreateOrder","test_create_order","",""
"","8264","Проверяем, что при создании нового заказа счётчик ""Выполнено за всё время""/""Выполнено за сегодня"" увеличивается","tests","Sun Mar 23 21:41:15 CET 2025","passed","Sun Mar 23 21:41:23 CET 2025","TestListOrders","test_list_order","",""
"","1115","Проверяем, что окно с деталями ингредиента закрывается нажатием закрытия (крестик)","tests","Sun Mar 23 21:38:00 CET 2025","passed","Sun Mar 23 21:38:01 CET 2025","TestCreateOrder","test_create_order","",""
